Point ID,Points_0,Points_1,Points_2,Points_Magnitude,U_0,U_1,U_2,U_Magnitude,arc_length,epsilon,k,nut,p,vtkValidPointMask
825,6.22483,0.500003,0.23797,6.24941,9.97264,0.00236391,-0.00454673,9.97264,8.26786,0.440713,0.208314,0.00886244,0.809976,1
826,6.23485,0.500003,0.237959,6.25939,9.97291,0.00232907,-0.00448182,9.97292,8.27788,0.437654,0.207212,0.00883018,0.804499,1
827,6.24487,0.500003,0.237948,6.26938,9.97319,0.00229431,-0.00442031,9.97319,8.2879,0.434582,0.206103,0.00879763,0.799013,1
828,6.2549,0.500003,0.237937,6.27936,9.97345,0.00225986,-0.0043591,9.97345,8.29793,0.431613,0.205026,0.00876582,0.793509,1
829,6.26492,0.500003,0.237925,6.28934,9.97371,0.00222542,-0.00429789,9.97371,8.30795,0.428644,0.203948,0.00873401,0.788006,1
830,6.27494,0.500003,0.237914,6.29932,9.97396,0.00219098,-0.00423668,9.97396,8.31797,0.425675,0.202871,0.00870219,0.782502,1
831,6.28496,0.500003,0.237903,6.30931,9.97422,0.00215666,-0.00417907,9.97422,8.32799,0.422702,0.201789,0.00867013,0.776988,1
832,6.29498,0.500003,0.237892,6.31929,9.97446,0.00212264,-0.00412138,9.97446,8.33801,0.419821,0.200735,0.00863875,0.771461,1
833,6.305,0.500003,0.237881,6.32927,9.97471,0.00208861,-0.00406369,9.97471,8.34803,0.416939,0.199681,0.00860737,0.765933,1
834,6.31503,0.500003,0.23787,6.33925,9.97495,0.00205458,-0.00400601,9.97495,8.35806,0.414057,0.198627,0.00857599,0.760406,1
835,6.32505,0.500003,0.237859,6.34924,9.97519,0.00202074,-0.00395212,9.97519,8.36808,0.41118,0.197571,0.00854441,0.754868,1
836,6.33507,0.500003,0.237848,6.35922,9.97542,0.00198714,-0.00389781,9.97542,8.3781,0.408383,0.19654,0.00851346,0.74932,1
